time,balance,equity,risk_pct,risk_money,sl_pips
2026-05-27 23:56:23.202950,1000.0,1000.0,1.0,10.0,50.0
2026-05-27 23:56:32.497080,1000.0,1000.0,1.0,10.0,50.0
2026-05-28 00:02:05.632898,1000.0,1000.0,1.0,10.0,50.0
2026-05-28 00:02:30.448035,1000.0,1000.0,1.0,10.0,50.0
2026-05-28 00:02:41.140418,99985.27,99985.27,1.0,999.8527,50.0
2026-05-28 00:02:44.876419,99985.27,99985.27,1.0,999.8527,50.0
2026-05-28 00:02:58.884667,1000.0,1000.0,1.0,10.0,50.0
2026-05-28 00:03:07.649715,1000.0,1000.0,1.0,10.0,50.0
2026-05-28 00:03:21.732788,99985.27,99985.27,1.0,999.8527,50.0
2026-05-28 00:03:41.265601,99985.27,99985.27,1.0,999.8527,50.0
2026-05-28 00:03:51.990491,99985.27,99985.27,1.0,999.8527,50.0
2026-05-28 00:07:32.988082,1431.89,1129.24,1.0,11.2924,50.0
2026-05-28 00:13:06.578427,1431.89,1075.2,1.0,10.752,50.0
2026-05-28 00:18:52.337865,1431.89,1075.2,1.0,10.752,50.0
2026-05-28 00:23:06.905988,1431.89,1167.04,1.0,11.670399999999999,50.0
2026-05-28 00:33:06.713896,1431.89,1167.04,1.0,11.670399999999999,50.0
2026-05-28 00:43:06.757975,1431.89,1167.04,1.0,11.670399999999999,50.0
2026-05-28 00:53:06.705044,1431.89,1167.04,1.0,11.670399999999999,50.0
2026-05-28 10:14:58.663617,1000.0,1000.0,1.0,10.0,50.0
2026-05-28 10:25:03.561585,1000.0,1000.0,1.0,10.0,50.0
2026-05-28 10:29:21.783386,1000.0,1000.0,1.0,10.0,50.0
2026-05-28 10:36:57.414547,1000.0,1000.0,1.0,10.0,50.0
2026-05-28 10:40:39.956173,1000.0,1000.0,1.0,10.0,50.0
2026-05-28 10:42:24.714701,1000.0,1000.0,1.0,10.0,50.0
2026-05-28 10:43:48.132316,1000.0,1000.0,1.0,10.0,50.0
2026-05-28 04:23:14.091181,1000.0,1000.0,1.0,10.0,50.0
2026-05-28 04:23:14.100474,1000.0,1000.0,1.0,10.0,50.0
2026-05-28 04:23:37.690671,1000.0,1000.0,1.0,10.0,50.0
2026-05-28 04:23:37.699341,1000.0,1000.0,1.0,10.0,50.0
2026-05-28 04:24:26.227262,1000.0,1000.0,1.0,10.0,50.0
2026-05-28 04:24:26.236033,1000.0,1000.0,1.0,10.0,50.0
2026-05-28 04:24:52.881727,1000.0,1000.0,1.0,10.0,50.0
2026-05-28 21:50:30.109349,5291.68,4211.07,1.0,42.110699999999994,50.0,1.0,0.8422139999999999,0.00842214,5.0,210.55349999999999,20.420924923653747,3,126.33209999999998
