time,selected,manual_bias,decision_quality_pct,scale10,pressure,acceleration,comment
2026-05-28 10:37:39.830120,WAIT,BUY,93.6,9.4,5.0,1.0,Dynamic manual emergency model; no API connection used.
2026-05-28 21:36:51.208705,WAIT,BUY,93.6,9.4,5.0,1.0,Dynamic manual emergency model; no API connection used.
